nom_commune_adherente;code_insee_commune_adherente;zip_code;nom_commune_zip
Tombeboeuf;47309;47380;Tombeboeuf, 47380
Villebramar;47319;47380;Villebramar, 47380
Montastruc;47182;47380;Montastruc, 47380
Monclar;47173;47380;Monclar, 47380
Courcy;51183;51220;Courcy, 51220
Loivre;51329;51220;Loivre, 51220
CORMICY (avant 2017);51171;51220;CORMICY (avant 2017), 51220
Cauroy-lès-Hermonville;51102;51220;Cauroy-lès-Hermonville, 51220
Cormicy;51171;51220;Cormicy, 51220
Saint-Thierry;51518;51220;Saint-Thierry, 51220
Berméricourt;51051;51220;Berméricourt, 51220
Merfy;51362;51220;Merfy, 51220
Brimont;51088;51220;Brimont, 51220
Villers-Franqueux;51633;51220;Villers-Franqueux, 51220
Thil;51568;51220;Thil, 51220
Pouillon;51444;51220;Pouillon, 51220
Hermonville;51291;51220;Hermonville, 51220
Voncourt;52546;52500;Voncourt, 52500
Champsevraine;52083;52500;Champsevraine, 52500
Farincourt;52195;52500;Farincourt, 52500
Laferté-sur-Amance;52257;52500;Laferté-sur-Amance, 52500
Poinson-lès-Fayl;52394;52500;Poinson-lès-Fayl, 52500
Tornay;52493;52500;Tornay, 52500
Savigny;52467;52500;Savigny, 52500
Belmont;52043;52500;Belmont, 52500
Genevrières;52213;52500;Genevrières, 52500
Arbigny-sous-Varennes;52015;52500;Arbigny-sous-Varennes, 52500
Maâtz;52298;52500;Maâtz, 52500
Les Loges;52290;52500;Les Loges, 52500
Pressigny;52406;52500;Pressigny, 52500
Bize;52051;52500;Bize, 52500
Grenant;52229;52500;Grenant, 52500
Rougeux;52438;52500;Rougeux, 52500
Pisseloup;52390;52500;Pisseloup, 52500
Fayl-Billot;52197;52500;Fayl-Billot, 52500
Anrosey;52013;52500;Anrosey, 52500
Maizières-sur-Amance;52303;52500;Maizières-sur-Amance, 52500
Coublanc;52145;52500;Coublanc, 52500
Gilley;52223;52500;Gilley, 52500
Saulles;52464;52500;Saulles, 52500
Velles;52513;52500;Velles, 52500
Valleroy;52503;52500;Valleroy, 52500
Pierremont-sur-Amance;52388;52500;Pierremont-sur-Amance, 52500
Carnac;56034;56340;Carnac, 56340
Plouharnel;56168;56340;Plouharnel, 56340
Goetzenbruck;57250;57620;Goetzenbruck, 57620
Lemberg;57390;57620;Lemberg, 57620
Mouterhouse;57489;57620;Mouterhouse, 57620
Saint-Louis-lès-Bitche;57619;57620;Saint-Louis-lès-Bitche, 57620
Lourches;59361;59156;Lourches, 59156
Nogent-sur-Oise;60463;60180;Nogent-sur-Oise, 60180
Fouquières-lès-Lens;62351;62740;Fouquières-lès-Lens, 62740
Tajan;65437;65300;Tajan, 65300
Lannemezan;65258;65300;Lannemezan, 65300
Lutilhous;65294;65300;Lutilhous, 65300
Pinas;65363;65300;Pinas, 65300
Clarens;65150;65300;Clarens, 65300
Lagrange;65245;65300;Lagrange, 65300
Campistrous;65125;65300;Campistrous, 65300
Uglas;65456;65300;Uglas, 65300
Réjaumont;65377;65300;Réjaumont, 65300
Galéria;2B121;20245;Galéria, 20245
Manso;2B153;20245;Manso, 20245
Chailly-lès-Ennery;57125;57365;Chailly-lès-Ennery, 57365
Ennery;57193;57365;Ennery, 57365
Flévy;57219;57365;Flévy, 57365
Beauvois-en-Cambrésis;59063;59157;Beauvois-en-Cambrésis, 59157
Fontaine-au-Pire;59243;59157;Fontaine-au-Pire, 59157
Morschwiller;67304;67350;Morschwiller, 67350
Bitschhoffen;67048;67350;Bitschhoffen, 67350
Dauendorf;67087;67350;Dauendorf, 67350
PFAFFENHOFFEN;67372;67350;PFAFFENHOFFEN, 67350
Uhlwiller;67497;67350;Uhlwiller, 67350
Engwiller;67123;67350;Engwiller, 67350
Val de Moder;67372;67350;Val de Moder, 67350
Kindwiller;67238;67350;Kindwiller, 67350
Schalkendorf;67441;67350;Schalkendorf, 67350
Grassendorf;67166;67350;Grassendorf, 67350
Mulhausen;67307;67350;Mulhausen, 67350
Buswiller;67068;67350;Buswiller, 67350
Ringendorf;67403;67350;Ringendorf, 67350
Niedermodern;67328;67350;Niedermodern, 67350
Ettendorf;67135;67350;Ettendorf, 67350
Val-de-Moder;67372;67350;Val-de-Moder, 67350
Uhrwiller;67498;67350;Uhrwiller, 67350
Hirtzbach;68139;68118;Hirtzbach, 68118
Bennwihr;68026;68630;Bennwihr, 68630
Mittelwihr;68209;68630;Mittelwihr, 68630
Villié-Morgon;69267;69910;Villié-Morgon, 69910
Saint-Didier-sur-Arroux;71407;71190;Saint-Didier-sur-Arroux, 71190
Brion;71062;71190;Brion, 71190
Dettey;71172;71190;Dettey, 71190
Thil-sur-Arroux;71537;71190;Thil-sur-Arroux, 71190
La Chapelle-sous-Uchon;71096;71190;La Chapelle-sous-Uchon, 71190
La Tagnière;71531;71190;La Tagnière, 71190
Saint-Nizier-sur-Arroux;71466;71190;Saint-Nizier-sur-Arroux, 71190
Uchon;71551;71190;Uchon, 71190
Mesvres;71297;71190;Mesvres, 71190
Broye;71063;71190;Broye, 71190
Laizy;71251;71190;Laizy, 71190
Étang-sur-Arroux;71192;71190;Étang-sur-Arroux, 71190
Champagné;72054;72470;Champagné, 72470
Fatines;72129;72470;Fatines, 72470
Saint-Mars-la-Brière;72300;72470;Saint-Mars-la-Brière, 72470
Sainte-Adresse;76552;76310;Sainte-Adresse, 76310
Chartrettes;77096;77590;Chartrettes, 77590
Bois-le-Roi;77037;77590;Bois-le-Roi, 77590
Fontaine-le-Port;77188;77590;Fontaine-le-Port, 77590
PALMAS;12177;12310;PALMAS, 12310
Palmas d'Aveyron;12177;12310;Palmas d'Aveyron, 12310
Bertholène;12026;12310;Bertholène, 12310
LAISSAC;12120;12310;LAISSAC, 12310
Vimenet;12303;12310;Vimenet, 12310
Laissac-Sévérac l'Église;12120;12310;Laissac-Sévérac l'Église, 12310
Gaillac-d'Aveyron;12107;12310;Gaillac-d'Aveyron, 12310
Bailly;78043;78870;Bailly, 78870
Meyreuil;13060;13590;Meyreuil, 13590
Maison-Ponthieu;80501;80150;Maison-Ponthieu, 80150
Yvrencheux;80833;80150;Yvrencheux, 80150
Machiel;80496;80150;Machiel, 80150
Canchy;80167;80150;Canchy, 80150
Dompierre-sur-Authie;80248;80150;Dompierre-sur-Authie, 80150
Agenvillers;80006;80150;Agenvillers, 80150
Machy;80497;80150;Machy, 80150
Gapennes;80374;80150;Gapennes, 80150
Ponches-Estruval;80631;80150;Ponches-Estruval, 80150
Gueschart;80396;80150;Gueschart, 80150
Yvrench;80832;80150;Yvrench, 80150
Domvast;80250;80150;Domvast, 80150
Vitz-sur-Authie;80810;80150;Vitz-sur-Authie, 80150
Neuilly-le-Dien;80589;80150;Neuilly-le-Dien, 80150
Ligescourt;80477;80150;Ligescourt, 80150
Boufflers;80118;80150;Boufflers, 80150
Noyelles-en-Chaussée;80599;80150;Noyelles-en-Chaussée, 80150
Estrées-lès-Crécy;80290;80150;Estrées-lès-Crécy, 80150
Le Boisle;80109;80150;Le Boisle, 80150
Crécy-en-Ponthieu;80222;80150;Crécy-en-Ponthieu, 80150
Froyelles;80371;80150;Froyelles, 80150
Brailly-Cornehotte;80133;80150;Brailly-Cornehotte, 80150
Forest-l'Abbaye;80331;80150;Forest-l'Abbaye, 80150
Fontaine-sur-Maye;80327;80150;Fontaine-sur-Maye, 80150
Lamotte-Buleux;80462;80150;Lamotte-Buleux, 80150
Vironchaux;80808;80150;Vironchaux, 80150
Mouzieys-Teulet;81190;81430;Mouzieys-Teulet, 81430
BELLEGARDE;81026;81430;BELLEGARDE, 81430
Bellegarde-Marsal;81026;81430;Bellegarde-Marsal, 81430
Ambialet;81010;81430;Ambialet, 81430
Villefranche-d'Albigeois;81317;81430;Villefranche-d'Albigeois, 81430
Le Fraysse;81096;81430;Le Fraysse, 81430
Saint-Quentin-sur-Charente;16345;16150;Saint-Quentin-sur-Charente, 16150
Chabanais;16070;16150;Chabanais, 16150
Chassenon;16086;16150;Chassenon, 16150
Pressignac;16270;16150;Pressignac, 16150
Exideuil-sur-Vienne;16134;16150;Exideuil-sur-Vienne, 16150
Chirac;16100;16150;Chirac, 16150
Chabrac;16071;16150;Chabrac, 16150
Étagnac;16132;16150;Étagnac, 16150
Bressols;82025;82710;Bressols, 82710
Moragne;17246;17430;Moragne, 17430
Genouillé;17174;17430;Genouillé, 17430
Bords;17053;17430;Bords, 17430
Cabariot;17075;17430;Cabariot, 17430
Champdolent;17085;17430;Champdolent, 17430
Lussant;17216;17430;Lussant, 17430
Muron;17253;17430;Muron, 17430
Saint-Hippolyte;17346;17430;Saint-Hippolyte, 17430
Tonnay-Charente;17449;17430;Tonnay-Charente, 17430
Saint-Coutant-le-Grand;17320;17430;Saint-Coutant-le-Grand, 17430
Saint-Tropez;83119;83990;Saint-Tropez, 83990
Saint-Hilaire-de-Riez;85226;85270;Saint-Hilaire-de-Riez, 85270
Notre-Dame-de-Riez;85189;85270;Notre-Dame-de-Riez, 85270
Rapale;2B257;20246;Rapale, 20246
Santo-Pietro-di-Tenda;2B314;20246;Santo-Pietro-di-Tenda, 20246
Sorio;2B287;20246;Sorio, 20246
San-Gavino-di-Tenda;2B301;20246;San-Gavino-di-Tenda, 20246
Piève;2B230;20246;Piève, 20246
Mignaloux-Beauvoir;86157;86550;Mignaloux-Beauvoir, 86550
Perrigny-sur-l'Ognon;21482;21270;Perrigny-sur-l'Ognon, 21270
Étevaux;21256;21270;Étevaux, 21270
Soissons-sur-Nacey;21610;21270;Soissons-sur-Nacey, 21270
Cirey-lès-Pontailler;21175;21270;Cirey-lès-Pontailler, 21270
Cléry;21180;21270;Cléry, 21270
Saint-Léger-Triey;21556;21270;Saint-Léger-Triey, 21270
Marandeuil;21376;21270;Marandeuil, 21270
Tellecey;21624;21270;Tellecey, 21270
Saint-Sauveur;21571;21270;Saint-Sauveur, 21270
Talmay;21618;21270;Talmay, 21270
Vielverge;21680;21270;Vielverge, 21270
Montmançon;21437;21270;Montmançon, 21270
Drambon;21233;21270;Drambon, 21270
Pontailler-sur-Saône;21496;21270;Pontailler-sur-Saône, 21270
Heuilley-sur-Saône;21316;21270;Heuilley-sur-Saône, 21270
Binges;21076;21270;Binges, 21270
Vonges;21713;21270;Vonges, 21270
Maxilly-sur-Saône;21398;21270;Maxilly-sur-Saône, 21270
Saint-Pôtan;22323;22550;Saint-Pôtan, 22550
Hénanbihen;22076;22550;Hénanbihen, 22550
Matignon;22143;22550;Matignon, 22550
Pléboulle;22174;22550;Pléboulle, 22550
Ruca;22268;22550;Ruca, 22550
GUERCHY;89196;89110;GUERCHY, 89110
Le Val d'Ocre;89334;89110;Le Val d'Ocre, 89110
Saint-Maurice-Thizouaille;89361;89110;Saint-Maurice-Thizouaille, 89110
Montholon;89003;89110;Montholon, 89110
Les Ormes;89281;89110;Les Ormes, 89110
Chassy;89088;89110;Chassy, 89110
Valravillon;89196;89110;Valravillon, 89110
Sommecaise;89397;89110;Sommecaise, 89110
Poilly-sur-Tholon;89304;89110;Poilly-sur-Tholon, 89110
AILLANT-SUR-THOLON;89003;89110;AILLANT-SUR-THOLON, 89110
SAINT-AUBIN-CHATEAU-NEUF;89334;89110;SAINT-AUBIN-CHATEAU-NEUF, 89110
Saint-Maurice-le-Vieil;89360;89110;Saint-Maurice-le-Vieil, 89110
La Ferté-Loupière;89163;89110;La Ferté-Loupière, 89110
Merry-la-Vallée;89251;89110;Merry-la-Vallée, 89110
Bretigney-Notre-Dame;25094;25110;Bretigney-Notre-Dame, 25110
Guillon-les-Bains;25299;25110;Guillon-les-Bains, 25110
Silley-Bléfond;25546;25110;Silley-Bléfond, 25110
Hyèvre-Magny;25312;25110;Hyèvre-Magny, 25110
Hyèvre-Paroisse;25313;25110;Hyèvre-Paroisse, 25110
Esnans;25221;25110;Esnans, 25110
Pont-les-Moulins;25465;25110;Pont-les-Moulins, 25110
Voillans;25629;25110;Voillans, 25110
Verne;25604;25110;Verne, 25110
Luxiol;25354;25110;Luxiol, 25110
Autechaux;25032;25110;Autechaux, 25110
Villers-Saint-Martin;25626;25110;Villers-Saint-Martin, 25110
Dammartin-les-Templiers;25189;25110;Dammartin-les-Templiers, 25110
Baume-les-Dames;25047;25110;Baume-les-Dames, 25110
Cusance;25183;25110;Cusance, 25110
Lomont-sur-Crête;25341;25110;Lomont-sur-Crête, 25110
Grosbois;25298;25110;Grosbois, 25110
Fourbanne;25251;25110;Fourbanne, 25110
Montivernage;25401;25110;Montivernage, 25110
Fontenotte;25249;25110;Fontenotte, 25110
Rillans;25492;25110;Rillans, 25110
Vergranne;25602;25110;Vergranne, 25110
Séchin;25538;25110;Séchin, 25110
Angerville;91016;91670;Angerville, 91670
Hauterives;26148;26390;Hauterives, 26390
Tersanne;26349;26390;Tersanne, 26390
LE BOSC-ROGER-EN-ROUMOIS;27090;27670;LE BOSC-ROGER-EN-ROUMOIS, 27670
Saint-Ouen-du-Tilleul;27582;27670;Saint-Ouen-du-Tilleul, 27670
Bosroumois;27090;27670;Bosroumois, 27670
Cachan;94016;94230;Cachan, 94230
Saint-Cyr-en-Arthies;95543;95510;Saint-Cyr-en-Arthies, 95510
Amenucourt;95012;95510;Amenucourt, 95510
Vienne-en-Arthies;95656;95510;Vienne-en-Arthies, 95510
Villers-en-Arthies;95676;95510;Villers-en-Arthies, 95510
Vétheuil;95651;95510;Vétheuil, 95510
Chérence;95157;95510;Chérence, 95510
Aincourt;95008;95510;Aincourt, 95510
Rodilhan;30356;30230;Rodilhan, 30230
Bouillargues;30047;30230;Bouillargues, 30230
Payssous;31408;31510;Payssous, 31510
Labroquère;31255;31510;Labroquère, 31510
Malvezie;31313;31510;Malvezie, 31510
Valcabrère;31564;31510;Valcabrère, 31510
Antichan-de-Frontignes;31009;31510;Antichan-de-Frontignes, 31510
Génos;31217;31510;Génos, 31510
Bagiry;31041;31510;Bagiry, 31510
Saint-Bertrand-de-Comminges;31472;31510;Saint-Bertrand-de-Comminges, 31510
Cier-de-Rivière;31143;31510;Cier-de-Rivière, 31510
Lourde;31306;31510;Lourde, 31510
Sauveterre-de-Comminges;31535;31510;Sauveterre-de-Comminges, 31510
Frontignan-de-Comminges;31200;31510;Frontignan-de-Comminges, 31510
Barbazan;31045;31510;Barbazan, 31510
Seilhan;31542;31510;Seilhan, 31510
Luscan;31308;31510;Luscan, 31510
Ore;31405;31510;Ore, 31510
Galié;31207;31510;Galié, 31510
Mont-de-Galié;31369;31510;Mont-de-Galié, 31510
Saint-Pé-d'Ardet;31509;31510;Saint-Pé-d'Ardet, 31510
Montpellier;34172;34070;Montpellier, 34070
Saint-Méloir-des-Ondes;35299;35350;Saint-Méloir-des-Ondes, 35350
Saint-Coulomb;35263;35350;Saint-Coulomb, 35350
La Gouesnière;35122;35350;La Gouesnière, 35350
Rosay;39466;39190;Rosay, 39190
Maynal;39320;39190;Maynal, 39190
TRENAL (avant 2017);39537;39190;TRENAL (avant 2017), 39190
Beaufort-Orbagna;39043;39190;Beaufort-Orbagna, 39190
Val-Sonnette;39576;39190;Val-Sonnette, 39190
Trenal;39537;39190;Trenal, 39190
Chevreaux;39142;39190;Chevreaux, 39190
Beaufort;39043;39190;Beaufort, 39190
Augea;39025;39190;Augea, 39190
Digna;39197;39190;Digna, 39190
Sainte-Agnès;39474;39190;Sainte-Agnès, 39190
Cuisia;39185;39190;Cuisia, 39190
Gizia;39255;39190;Gizia, 39190
Rotalier;39467;39190;Rotalier, 39190
VINCELLES;39576;39190;VINCELLES, 39190
Cousance;39173;39190;Cousance, 39190
La Limouzinière;44083;44310;La Limouzinière, 44310
Saint-Colomban;44155;44310;Saint-Colomban, 44310
Saint-Lumine-de-Coutais;44174;44310;Saint-Lumine-de-Coutais, 44310
Saint-Philbert-de-Grand-Lieu;44188;44310;Saint-Philbert-de-Grand-Lieu, 44310
Saint-Cyr-en-Val;45272;45590;Saint-Cyr-en-Val, 45590
Meyrueis;48096;48150;Meyrueis, 48150
Le Rozier;48131;48150;Le Rozier, 48150
Saint-Pierre-des-Tripiers;48176;48150;Saint-Pierre-des-Tripiers, 48150
Hures-la-Parade;48074;48150;Hures-la-Parade, 48150
Gatuzières;48069;48150;Gatuzières, 48150
Baracé;49017;49430;Baracé, 49430
Les Rairies;49257;49430;Les Rairies, 49430
Durtal;49127;49430;Durtal, 49430
Huillé-Lézigné;49174;49430;Huillé-Lézigné, 49430
Lézigné;49174;49430;Lézigné, 49430
Montigné-lès-Rairies;49209;49430;Montigné-lès-Rairies, 49430
Créances;50151;50710;Créances, 50710
SAINT-JEAN-SUR-ERVE;53228;53270;SAINT-JEAN-SUR-ERVE, 53270
Thorigné-en-Charnie;53264;53270;Thorigné-en-Charnie, 53270
SAINTE-SUZANNE;53255;53270;SAINTE-SUZANNE, 53270
Torcé-Viviers-en-Charnie;53265;53270;Torcé-Viviers-en-Charnie, 53270
Sainte-Suzanne-et-Chammes;53255;53270;Sainte-Suzanne-et-Chammes, 53270
Blandouet-Saint Jean;53228;53270;Blandouet-Saint Jean, 53270
Saint-Pierre-sur-Erve;53248;53270;Saint-Pierre-sur-Erve, 53270
Maizières;54336;54550;Maizières, 54550
Bainville-sur-Madon;54043;54550;Bainville-sur-Madon, 54550
Pont-Saint-Vincent;54432;54550;Pont-Saint-Vincent, 54550
Sexey-aux-Forges;54505;54550;Sexey-aux-Forges, 54550
Dornes;58104;58390;Dornes, 58390
Maulde;59393;59158;Maulde, 59158
Flines-lès-Mortagne;59238;59158;Flines-lès-Mortagne, 59158
Thun-Saint-Amand;59594;59158;Thun-Saint-Amand, 59158
Mortagne-du-Nord;59418;59158;Mortagne-du-Nord, 59158
Hardifort;59282;59670;Hardifort, 59670
Wemaers-Cappel;59655;59670;Wemaers-Cappel, 59670
Ochtezeele;59443;59670;Ochtezeele, 59670
Winnezeele;59662;59670;Winnezeele, 59670
Zermezeele;59667;59670;Zermezeele, 59670
Bavinchove;59054;59670;Bavinchove, 59670
Zuytpeene;59669;59670;Zuytpeene, 59670
Cassel;59135;59670;Cassel, 59670
Sainte-Marie-Cappel;59536;59670;Sainte-Marie-Cappel, 59670
Oxelaëre;59454;59670;Oxelaëre, 59670
Noordpeene;59436;59670;Noordpeene, 59670
Oudezeele;59453;59670;Oudezeele, 59670
Ermenonville;60213;60950;Ermenonville, 60950
Montagny-Sainte-Félicité;60413;60950;Montagny-Sainte-Félicité, 60950
Ver-sur-Launette;60666;60950;Ver-sur-Launette, 60950
Outreau;62643;62230;Outreau, 62230
Malintrat;63204;63510;Malintrat, 63510
Aulnat;63019;63510;Aulnat, 63510
Rogliano;2B261;20247;Rogliano, 20247
Montgesoye;25400;25111;Montgesoye, 25111
Marcoing;59377;59159;Marcoing, 59159
Ribécourt-la-Tour;59500;59159;Ribécourt-la-Tour, 59159
Noyelles-sur-Escaut;59438;59159;Noyelles-sur-Escaut, 59159
Peuplingues;62654;62231;Peuplingues, 62231
Coquelles;62239;62231;Coquelles, 62231
Sangatte;62774;62231;Sangatte, 62231
Arbéost;65018;65560;Arbéost, 65560
Ferrières;65176;65560;Ferrières, 65560
Pfastatt;68256;68120;Pfastatt, 68120
Richwiller;68270;68120;Richwiller, 68120
Arnas;69013;69400;Arnas, 69400
Porte des Pierres Dorées;69159;69400;Porte des Pierres Dorées, 69400
Porte des Pierres Dorées (avant 2019);69159;69400;Porte des Pierres Dorées (avant 2019), 69400
Gleizé;69092;69400;Gleizé, 69400
Limas;69115;69400;Limas, 69400
POUILLY-LE-MONIAL;69159;69400;POUILLY-LE-MONIAL, 69400
Villefranche-sur-Saône;69264;69400;Villefranche-sur-Saône, 69400
Sologny;71525;71960;Sologny, 71960
Serrières;71518;71960;Serrières, 71960
Verzé;71574;71960;Verzé, 71960
Fuissé;71210;71960;Fuissé, 71960
Prissé;71360;71960;Prissé, 71960
Vergisson;71567;71960;Vergisson, 71960
Chevagny-les-Chevrières;71126;71960;Chevagny-les-Chevrières, 71960
Davayé;71169;71960;Davayé, 71960
Bussières;71069;71960;Bussières, 71960
Solutré-Pouilly;71526;71960;Solutré-Pouilly, 71960
Berzé-la-Ville;71032;71960;Berzé-la-Ville, 71960
Milly-Lamartine;71299;71960;Milly-Lamartine, 71960
Igé;71236;71960;Igé, 71960
Berzé-le-Châtel;71031;71960;Berzé-le-Châtel, 71960
Pierreclos;71350;71960;Pierreclos, 71960
La Roche-Vineuse;71371;71960;La Roche-Vineuse, 71960
Avressieux;73025;73240;Avressieux, 73240
Saint-Genix-sur-Guiers;73236;73240;Saint-Genix-sur-Guiers, 73240
Sainte-Marie-d'Alvey;73254;73240;Sainte-Marie-d'Alvey, 73240
Rochefort;73214;73240;Rochefort, 73240
Saint-Genix-les-Villages;73236;73240;Saint-Genix-les-Villages, 73240
Champagneux;73070;73240;Champagneux, 73240
Vulbens;74314;74520;Vulbens, 74520
Chevrier;74074;74520;Chevrier, 74520
Jonzier-Épagny;74144;74520;Jonzier-Épagny, 74520
Valleiry;74288;74520;Valleiry, 74520
Savigny;74260;74520;Savigny, 74520
Chênex;74069;74520;Chênex, 74520
Dingy-en-Vuache;74101;74520;Dingy-en-Vuache, 74520
Laure-Minervois;11198;11800;Laure-Minervois, 11800
Villedubert;11422;11800;Villedubert, 11800
Montirat;11248;11800;Montirat, 11800
Floure;11146;11800;Floure, 11800
Badens;11023;11800;Badens, 11800
Trèbes;11397;11800;Trèbes, 11800
Aigues-Vives;11001;11800;Aigues-Vives, 11800
Rustiques;11330;11800;Rustiques, 11800
Fontiès-d'Aude;11151;11800;Fontiès-d'Aude, 11800
Barbaira;11027;11800;Barbaira, 11800
Marseillette;11220;11800;Marseillette, 11800
Bouilhonnac;11043;11800;Bouilhonnac, 11800
Saint-Frichoux;11342;11800;Saint-Frichoux, 11800
Monze;11257;11800;Monze, 11800
Montesson;78418;78360;Montesson, 78360
Aix-en-Provence;13001;13080;Aix-en-Provence, 13080
Trouville-sur-Mer;14715;14360;Trouville-sur-Mer, 14360
Moissac;82112;82200;Moissac, 82200
Malause;82101;82200;Malause, 82200
Montesquieu;82127;82200;Montesquieu, 82200
Boudou;82019;82200;Boudou, 82200
Lizac;82099;82200;Lizac, 82200
Puget-sur-Argens;83099;83480;Puget-sur-Argens, 83480
Colombiers;18069;18200;Colombiers, 18200
La Celle;18042;18200;La Celle, 18200
La Perche;18178;18200;La Perche, 18200
Ainay-le-Vieil;18002;18200;Ainay-le-Vieil, 18200
Orval;18172;18200;Orval, 18200
Saint-Georges-de-Poisieux;18209;18200;Saint-Georges-de-Poisieux, 18200
Orcenais;18171;18200;Orcenais, 18200
Bruère-Allichamps;18038;18200;Bruère-Allichamps, 18200
Nozières;18169;18200;Nozières, 18200
Saint-Amand-Montrond;18197;18200;Saint-Amand-Montrond, 18200
Drevant;18086;18200;Drevant, 18200
Arpheuilles;18013;18200;Arpheuilles, 18200
La Groutte;18107;18200;La Groutte, 18200
Meillant;18142;18200;Meillant, 18200
Farges-Allichamps;18091;18200;Farges-Allichamps, 18200
Bouzais;18034;18200;Bouzais, 18200
Arcomps;18009;18200;Arcomps, 18200
Saint-Martin-de-la-Brasque;84113;84760;Saint-Martin-de-la-Brasque, 84760
Tomino;2B327;20248;Tomino, 20248
Rogliano;2B261;20248;Rogliano, 20248
Val-d'Oire-et-Gartempe;87028;87320;Val-d'Oire-et-Gartempe, 87320
Bussière-Poitevine;87028;87320;Bussière-Poitevine, 87320
Bois-de-Champ;88064;88600;Bois-de-Champ, 88600
Domfaing;88145;88600;Domfaing, 88600
Laval-sur-Vologne;88261;88600;Laval-sur-Vologne, 88600
Bruyères;88078;88600;Bruyères, 88600
Les Rouges-Eaux;88398;88600;Les Rouges-Eaux, 88600
Belmont-sur-Buttant;88050;88600;Belmont-sur-Buttant, 88600
Laveline-devant-Bruyères;88262;88600;Laveline-devant-Bruyères, 88600
Nonzeville;88331;88600;Nonzeville, 88600
Prey;88359;88600;Prey, 88600
Mortagne;88315;88600;Mortagne, 88600
Fremifontaine;88184;88600;Fremifontaine, 88600
Fiménil;88172;88600;Fiménil, 88600
Deycimont;88131;88600;Deycimont, 88600
Fays;88169;88600;Fays, 88600
La Chapelle-devant-Bruyères;88089;88600;La Chapelle-devant-Bruyères, 88600
Destord;88130;88600;Destord, 88600
Brouvelieures;88076;88600;Brouvelieures, 88600
Girecourt-sur-Durbion;88203;88600;Girecourt-sur-Durbion, 88600
Grandvillers;88216;88600;Grandvillers, 88600
Lépanges-sur-Vologne;88266;88600;Lépanges-sur-Vologne, 88600
Aydoilles;88026;88600;Aydoilles, 88600
Pierrepont-sur-l'Arentèle;88348;88600;Pierrepont-sur-l'Arentèle, 88600
Herpelmont;88240;88600;Herpelmont, 88600
La Neuveville-devant-Lépanges;88322;88600;La Neuveville-devant-Lépanges, 88600
Viménil;88512;88600;Viménil, 88600
Vervezelle;88502;88600;Vervezelle, 88600
Sercoeur;88454;88600;Sercoeur, 88600
Dompierre;88152;88600;Dompierre, 88600
Gugnécourt;88222;88600;Gugnécourt, 88600
Fontenay;88175;88600;Fontenay, 88600
Beauménil;88046;88600;Beauménil, 88600
Les Poulières;88356;88600;Les Poulières, 88600
Méménil;88297;88600;Méménil, 88600
Champ-le-Duc;88086;88600;Champ-le-Duc, 88600
Saint-Silvain-Montaigut;23242;23320;Saint-Silvain-Montaigut, 23320
Saint-Vaury;23247;23320;Saint-Vaury, 23320
Fleurat;23082;23320;Fleurat, 23320
Gartempe;23088;23320;Gartempe, 23320
Montaigut-le-Blanc;23132;23320;Montaigut-le-Blanc, 23320
Bussière-Dunoise;23036;23320;Bussière-Dunoise, 23320
Saint-Méard-de-Drône;24460;24600;Saint-Méard-de-Drône, 24600
Saint-Martin-de-Ribérac;24455;24600;Saint-Martin-de-Ribérac, 24600
Vanxains;24564;24600;Vanxains, 24600
Ribérac;24352;24600;Ribérac, 24600
Saint-Sulpice-de-Roumagnac;24504;24600;Saint-Sulpice-de-Roumagnac, 24600
Celles;24090;24600;Celles, 24600
Segonzac;24529;24600;Segonzac, 24600
Siorac-de-Ribérac;24537;24600;Siorac-de-Ribérac, 24600
Allemans;24007;24600;Allemans, 24600
Comberanche-et-Épeluche;24128;24600;Comberanche-et-Épeluche, 24600
Petit-Bersac;24323;24600;Petit-Bersac, 24600
Villetoureix;24586;24600;Villetoureix, 24600
Chassaignes;24114;24600;Chassaignes, 24600
Saint-Pardoux-de-Drône;24477;24600;Saint-Pardoux-de-Drône, 24600
Bourg-du-Bost;24058;24600;Bourg-du-Bost, 24600
Longjumeau;91345;91160;Longjumeau, 91160
Champlan;91136;91160;Champlan, 91160
Ballainvilliers;91044;91160;Ballainvilliers, 91160
Saulx-les-Chartreux;91587;91160;Saulx-les-Chartreux, 91160
SAINTE-MARGUERITE-DE-L'AUTEL;27565;27160;SAINTE-MARGUERITE-DE-L'AUTEL, 27160
Breteuil;27112;27160;Breteuil, 27160
Verneuil d'Avre et d'Iton;27679;27160;Verneuil d'Avre et d'Iton, 27160
Les Baux-de-Breteuil;27043;27160;Les Baux-de-Breteuil, 27160
Mesnils-sur-Iton (avant 2019);27198;27160;Mesnils-sur-Iton (avant 2019), 27160
Marbois;27157;27160;Marbois, 27160
LE CHESNE;27157;27160;LE CHESNE, 27160
Sainte-Marie-d'Attez;27578;27160;Sainte-Marie-d'Attez, 27160
Mesnils-sur-Iton;27198;27160;Mesnils-sur-Iton, 27160
VERNEUIL-SUR-AVRE;27679;27160;VERNEUIL-SUR-AVRE, 27160
DAMVILLE;27198;27160;DAMVILLE, 27160
SAINT-OUEN-D'ATTEZ;27578;27160;SAINT-OUEN-D'ATTEZ, 27160
Bémécourt;27054;27160;Bémécourt, 27160
Le Lesme;27565;27160;Le Lesme, 27160
BRETEUIL (avant 2016);27112;27160;BRETEUIL (avant 2016), 27160
